RegionName,Year,AvgHouseholdMedianIncome,AvgRent
"Atlanta, GA",2021.0,93419.75,1718.2731062717558
"Atlantic City, NJ",2012.0,29886.0,1448.4303504241118
"Atlantic City, NJ",2013.0,29200.0,1506.533617674182
"Atlantic City, NJ",2014.0,26936.0,1562.4795985812643
"Atlantic City, NJ",2015.0,25737.0,1531.9416109011415
"Atlantic City, NJ",2016.0,26566.0,1488.6423837669972
"Atlantic City, NJ",2017.0,26006.0,1489.572330171598
"Atlantic City, NJ",2018.0,27786.0,1575.923586430749
"Atlantic City, NJ",2019.0,29232.0,1590.87317353634
"Atlantic City, NJ",2020.0,29526.0,1602.8574334168325
"Atlantic City, NJ",2021.0,29789.0,1788.4152223578033
"Auburn, AL",2013.0,36040.0,978.4451239329244
"Auburn, AL",2014.0,36293.0,1018.297639922318
"Auburn, AL",2015.0,36586.5,1066.180654792215
"Auburn, AL",2016.0,37226.0,1074.085341410744
"Auburn, AL",2017.0,39894.5,1161.8292886483157
"Auburn, AL",2018.0,40635.0,1298.853570771137
"Auburn, AL",2019.0,42287.5,1310.084823452027
"Auburn, AL",2020.0,43331.5,1281.4171839566525
"Auburn, AL",2021.0,47815.0,1379.5339983662325
"Augusta, GA",2012.0,38119.6,765.059909542621
"Augusta, GA",2013.0,38443.4,744.0293249898805
"Augusta, GA",2014.0,39119.0,807.430627279614
"Augusta, GA",2015.0,39062.6,809.3996987402294
"Augusta, GA",2016.0,40095.0,834.274906698086
"Augusta, GA",2017.0,40894.8,894.5134010034573
"Augusta, GA",2018.0,42671.8,989.5180445880978
"Augusta, GA",2019.0,42906.6,1018.3673884692006
"Augusta, GA",2020.0,42481.8,992.1749137313888
"Augusta, GA",2021.0,44899.8,1094.2775972572656
"Austin, TX",2014.0,54398.2,1688.357133013742
"Austin, TX",2015.0,59324.0,1791.3056674125276
"Austin, TX",2016.0,63732.8,1879.9068567809177
"Austin, TX",2017.0,69275.6,2075.533116964615
"Austin, TX",2018.0,72360.2,2222.4641442989564
"Austin, TX",2019.0,78395.6,2218.5610632526077
"Austin, TX",2020.0,82224.6,2202.858211637404
"Austin, TX",2021.0,90100.2,2703.118678840656
"Bakersfield, CA",2012.0,36652.8,844.9475642469524
"Bakersfield, CA",2014.0,36497.2,1136.263598385729
"Bakersfield, CA",2015.0,36177.8,1178.3693157950745
"Bakersfield, CA",2016.0,37087.0,1219.738547837732
"Bakersfield, CA",2017.0,38591.0,1315.6863854630476
"Bakersfield, CA",2018.0,39422.6,1462.9123417744515
"Bakersfield, CA",2019.0,39810.6,1464.447559786891
"Bakersfield, CA",2020.0,40143.4,1440.0406446591237
"Baltimore, MD",2014.0,41684.8,1717.324640453755
"Baltimore, MD",2015.0,41750.0,1702.1334072971165
"Baltimore, MD",2016.0,44391.0,1705.7864960740478
"Baltimore, MD",2017.0,47416.6,1763.4620936612607
